concept,count
Jorge Giraldo,2
hackers,1
Claudia Sastre,4
", a ",5
", ",3
", pero ella es de  ",1
", que digamos que también estamos explorando la participación de otras universidades, a ",1
" de Colciencias, pues es la mujer que estaba  ",1
 y a ,1
Orlando Cuevas,1
Javier Caicedo,1
Burroughs,5
DSIT,1
Mauricio Arango,2
TCP/IP,7
Mauricio,8
Álvaro Galvis,2
Conecta-TE,1
Web Semántica,7
Machine Learning,2
LudoMatica,1
wikis,1
YouTube,1
Instagram,1
Ludomática,5
Ludomática? ¿Qué diferencias tiene con el proyecto ,1
Proyecto ,1
Álvaro,4
Rodolfo Llinás,1
Carl Langebaek,1
Bienestar Familiar,2
Yolanda Pulecio,1
Global Bangemann Challenge,1
Bernardo Gómez,6
María Clara Arboleda,1
Luz Adriana Osorio,1
Luz Adriana,8
Pepe Toro,1
Pedro Gómez,1
CIFE,3
Navas,2
Conécta-TE,2
Mauricio Rodríguez,1
Manuel,1
Manuel Rodríguez,1
Tec,5
Minitel,3
Romero,1
Gugo,1
RIE,1
Francisco Rueda,1
ARPANET,1
Ángela Restrepo,1
Llinás,1
Sonia Cristina Prieto,3
Sonia Cristina,4
Germán,4
Margarita Peña,4
Piedad Caballero,1
Miriam Luisa Díaz,1
José Tiberio Hernández,1
Tiberio,1
Rubí Casallas,1
Jorge Villalobos,1
TI,1
Rafael Gómez,4
Fernando,6
Alejandro Rico,4
CERN,2
Rafael,1
seguridad de la información,3
Pedro Villegas,3
Grupo Aval,4
interconectividad,2
telemática,1
Roberto Soto Prieto,3
Télex,2
Chase Manhattan Bank,2
Museo de Arte Moderno de Bogotá,3
sistemas electrónicos,1
Bancolombia,2
computador,2
terminal,1
llamada telefónica de larga distancia,1
Banco Occidente,1
Banco Popular,3
data center,1
llamadas de largadistancia,1
llamadas de larga distancia,1
telefonía local,1
ETB,1
telegramas,4
telegrafía,1
operadores,2
telegrama,1
cable,1
cable de voz,1
transmitir,3
datos,12
la legislación de red de valor agregado,1
callback,6
Callback,1
Rey Moreno,1
Gobierno,1
servicios de valor agregado,1
Coldapaq,6
Isaías Poveda,4
operadores de tecnología,1
tecnología nueva,1
línea telefónica,1
tarifas de voz,1
llamada telefónica ,1
ingeniería,1
tecnología para datos,1
telefonía,1
tráfico de datos,1
tráfico de voz,1
DECnet,1
Digital Equipment Corporation,2
redes académicas,1
Universidad de Columbia,3
El Galpón,5
bits,3
correo electrónico,4
attachment,1
enlaces,1
.co,8
Ministerio de Comunicaciones,1
voz,3
teleconferencia,1
llamada telefónica,1
National Foundation,1
CompuServe,9
conexión,1
cuenta,1
Comercio electrónico,1
navegar,1
Gobierno federal,1
uso comercial,1
ColonSAT,1
Open Way,1
ministerio,1
RUNCOL,1
DECNet,1
protocolos,3
protocolos abiertos,1
tecnología abierta,2
sistemas abiertos,1
Universidad Industrial de Santander,1
Hernán Porras Díaz,1
redes de computadores,3
Carlos Ardila Arenas,1
DTI,1
estándares de comunicaciones,1
estándares europeos,2
estándares de Estados Unidos,2
estándares TCP/IP,1
estándares CCITT,1
CCITT,1
stack,1
interconectarlas,1
Luis Carlos Sarmiento Angulo,2
Banco Bogotá,1
AV Villas,1
Banco de Occidente,1
Coltefinanciera,1
tecnologías disímiles,1
ATH,1
interconexión,1
hardware,1
EPM,1
Granahorrar,2
AV VIllas,2
tecnologías Internet,1
Conavi,1
Davivienda,1
criptografía,1
matemática de la seguridad de la información,1
Universidad  Militar,1
Facultad de Sistemas,1
director del Centro de Cómputo,1
Arturo Infante,1
rector de ,1
Fernando (Salcedo),4
Mauricio (Pinilla),2
Hugo (Sin),2
Intranet,1
Universidad Nacional (de Colombia),1
" en ese tiempo y que ya hoy en día se le vendió a, no sé a quién se le vendió. Al final lo terminamos administrando nosotros, pero en principio era cada año se iban a turnar entre cada uno de ellos y al final terminamos nosotros. Esa conexión pues fue lograda por ",1
" por allá con los contactos y con otras personas, tanto de esas otras universidades como con Creo, creo que también con ",1
María José,2
", definitivamente era un ambiente muy bueno tanto para aprender como en lo personal  A mediados del 90 empecé a trabajar en el ",1
  tuve la oportunidad de hacer una especialización en telemática.,1
Gonzalo,9
Departamento de Sistemas,1
", entre los dos que yo trabajaba para ",1
" era mi jefe inmediato, pero ",1
", era el director  de  todo el ",1
". Entonces todo el proyecto obviamente yo se lo presenté a ellos, ellos lo aprobaron y ellos fueron los que recibieron la plata directamente de la administración, digamos que de esa parte, de toda esa gestión, yo no la manejaba porque esto es lo que queremos hacer. La parte técnica realmente, tanto en la red como en el Internet, mi labor fue más técnica. Obviamente estuve en reuniones, pero yo en la parte de gestión y la parte de conseguir los fondos o de negociar toda esa parte nunca estuve involucrado; trabajando mucho con ",1
",él ya tenía su red, él manejaba la red de Mackintosh. En esa época la universidad tenía mucho Mac por todo el campus, pero él tenía su propia red que se usaba a través de líneas telefónicas. Como el campus ya tenía la red telefónica, él aprovechó esa red telefónica para conectar todos los Mac entre ellos,  entonces, realmente la primera red que hubo en el campus de esta universidad fue Mackintosh, pero a través de red telefónica, que era un poquito más lenta. Cuando yo empecé a trabajar en la parte de fibra óptica ya conectamos todo, todos los edificios por fibra óptica, integramos la red de Macde Gonzalo",1
Ethernet,8
Token Ring,7
Pascal,1
Assembler,1
Mainframe,8
BITNET,8
Cinet,3
Wi-Fi,5
Mauricio Briceño,1
Mainframes,2
Cisco,4
" para conectarse, copiar el satélite. La universidad aquí con offset en la Florida. Entonces, básicamente, ",1
" consiguió, Dijo ¿Quién vende ",1
 aquí en Colombia? Nadie. Consiguió una empresa de Cali y finalmente logró que mandaran un enrutador ,1
. Él compró el enrutador ,1
 y lo mandó. Entonces ,1
", esto tiene que estar configurado. Digamos que él hizo toda la cuestión de conseguir ese famoso enrutador ",1
. Yo no tenía ni idea qué era  ,1
" para esa época y todos  esos protocolos de enrutamiento, entonces, ellos me mandaron una documentación: Esto es lo que tienen que conectarse,tienen que tener esto, esto y esto. Vamos a conectar entre ",1
 y ,4
 hicieron la gestión con ,1
 para el enlace satelital y ,1
" llegó con su.. “Okey, conécteme esto   en  su enrutador y usted maneje el enrutador y ya ahí tiene conexión”. Fue muy interesante esa  parte, aprender ",1
", todavía uso ",1
" definitivamente,  A mi  me tocó aprender todos los protocolos de enrutamiento para conectarnos a Internet,  una  vez conectados a Internet, ya vienen las otras universidades también. Ah bueno, viene el Galpón cómo le doy acceso a los estudiantes a través de líneas telefónicas,  pero ahora viene ",1
", que fueron las dos primeras, y la ",1
" en Bogotá. Ahora,  ¿cómo nos conectamos? ¿Cómo les damos a ellos conexión? Entonces ahí también a través de Telecom, la red ",1
"pack una red de X 25, básicamente ",1
",",1
"nosotros, y la Nacional nos conectamos a esta red COLTRAPACK y ya logramos conectar las redes de ellos con ",1
", básicamente con la parte física, la parte técnica era que ellos se conectaban a ",1
", se conectaba a internet. Por cierto, me imagino que ",1
", o ya les comentaron la; La primera conexión a internet fue a 9600 bits por segundo, el cual ese enlace estaba completamente saturado desde que empezó,  logramos subir, no sé en qué año, yo estoy seguro que ",1
" tienen las fechas, pero logramos subir a 64 kilobits por segundo. Ya es una conexión mucho más rápida. Pero básicamente estas universidades se conectaban a ",1
 a través de la red COLTPACK Después empezamos a hacer enlaces de vía microondas  Creo que con ,1
Comsat,4
Linux,1
CEO,1
Coltapack,1
switches,1
