file,concept,count
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Jesús Ferro,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Cecilia María Vélez,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Cisco Systems,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,SENA,2
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Montoya,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Álvaro Uribe,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,El sena,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Gabriel García Márquez,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Rodolfo Llinás,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt," esa misión, ahí estaba Fernando también como parte de esa misión que hay un libro muy hermoso con un escrito hermosísimo de ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt," acerca de El mundo de la ciencia y los niños no sé si lo han conocido, es un libro muy lindo de ese tiempo. Yo tengo esa, esa colección. yo sé que en Internet hay cosas, entonces mira cómo el cambio de de gente hace que ese pensamiento pudiera tener continuidad o no. El hecho es que en un momento determinado... Yo soy poco de nostalgias, la institución cambió y yo también la cambié cuando  llegué. Entonces no puedo quejarme que otro la cambie. Pero la gente así decía “Mire, esa visión fue  cambiando”, sobre todo con una persona que le voy a dar el nombre, pero ustedes verifican más sobre ella. ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,. ,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt, llegó a ,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt," como directora. Creo que ahora es senadora, no sé, ella es política. Y María del Rosario llegó con una visión muy diferente del mundo de la ciencia y la tecnología, el mundo de la ciencia y la tecnología, resumiéndolo, no es lo que la gente del mundo de la ciencia piensa que es, sino lo que yo pienso que es. Y eso es muy, muy doloroso. Y recordamos un evento donde había una comisión redactora de las conclusiones de ese evento, esa comisión hizo el informe, y  esta señora hizo su propio informe y ese fue el informe de la reunión, no el otro. Entonces fíjese que es lo que digo yo  la ciencia, la tecnología, no es lo que ustedes piensan, científicos, sino lo que yo pienso. Y esos cambios llevan a que, no sé… Pero por otro lado está esa capacidad que se creó de una manera u otra, yo pasé a ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt," no porque me interesara el dinero,  era buen dinero, pero no me interesaba. Me interesaba lo filantrópico. Nos metimos con el proyecto RedTe  que tiene que ver con llevar internet a las escuelas, Que es un proyecto muy lindo que todavía creo que existe como concepto, y el centro de red que creo que todavía existe. Pero la idea era llevar internet a las escuelas. Entonces eso se planteó en la Secretaría de Educación de ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,", Antanas Mockus de alcalde. Cuando vino, y el electo alcalde fue ¿Peñalosa es que se llama? Y Peñalosa nombró de secretaria de Educación a ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,". De nuevo, Cecilia María es paisa, y  nos habíamos conocido cuando yo estaba en Minas y ella era la secretaria privada del Ministro de Minas y Energía, y su hermana era profesora de la ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,". O sea, saben que la mamá de ella fue asesinada vilmente por la guerrilla. Pero lo importante es, Cecilia María me llama y me dice: “Jaime, yo sé que tú ayudaste a gestionar este proyecto Red, pero tengo instrucción del alcalde de acabar con él”. Y le dije yo:  Mmm. Te tengo malas noticias, pero primero cuéntame  ¿por qué quieren acabar con él? Me dice no, es que aquí hay un concepto de un de un experto que le pasó una evaluación y dice que se están comprando computadores de 20.000 dólares. ¿Y eso de dónde sale? Claro, el proyecto son 50 millones de dólares y van a  estar tantos computadores, cada computador son 20.000 dólares Y yo: “No, no, no, no, no Cecilia,  eso no es así, es mucho más allá lo que es Redp. Lo que es Redp desarrollar capacidades en la gente, en los maestros, para poder utilizar esa tecnología de internet para enseñar. A nosotros no nos va a preocupar mucho el niño. El niño con seguridad se va a meter en ese mundo de Intered, pero lo que nos preocupa es que el maestro no se mete y el niño llega y entonces el niño sabe más que el maestro. El maestro tiene que tener la capacidad  entonces armamos todo un programa de capacitación de maestros que tuvo grandes resistencias dentro del magisterio, ellos no querían. Hasta que ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt," en unas vacaciones escolares Dijo: “las vacaciones escolares, son escolares, no de docentes, entonces los docentes van a estudiar”. Y llegaron  con esa cara de furiosos, a los tres días estaban, “Oiga, queremos más, Queremos aprender más”. Y eso nos llevó a tener esa capacidad de los maestros. Me acuerdo de decirle a ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt," en una conferencia que vino a Medellín y el secretario de Educación de Medellín, ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,", amigo mío, se quejaba de que aquí, donde yo ofrecí desarrollar el proyecto de manera gratuita cuando ya me habían pagado buena plata, yo le ofrecí a ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt," que era el secretario de Educación, hagámoslo y yo le ofrezco mi asesoría gratuita. Y el secretario de Educación, Enrique Me dijo: Jaime, ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,", siempre piensa en grande, así es su eslogan, en grande”. Y él dice que nada, que eso de llevar cuatro computadoras a cada escuela no. Él quiere 20 computadores en cada escuela. Sí, pero es que el computador es lo de menos, hay que preparar al maestro. No, lo que él quiere es el computador. Entonces ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt, dijo en esa conferencia en ,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,", en esa FID que tenemos hoy en día. Las escuelas con 20 computadores en sus casas porque no saben qué hacer con los computadores. Y vino Cecilia María y dice “Oiga, yo la verdad es que no creía mucho en esto, pero ahora me encuentro que los maestros están diciendo"" Oiga, no es suficiente, queremos más, necesitamos más”. Porque se cambió ese  chip. El otro tema que se metió fue contenidos. Entonces mi acuerdo se vincula a una empresa venezolana a desarrollar contenidos o la capacidad de ofrecer contenidos Invitando a los maestros empieza a desarrollar cursos, empieza a resolver cositas, Es muy difícil, pero yo lo hice siendo profesor y es muy duro uno solo, tiene que tener como un equipo de gente que haga la parte de logística o que maneje la parte algorítmica y uno como la idea global. Pero yo me gasté lo que me pagaron por un curso de negociación de tecnología informática, pagándole a un alumno para que montara el curso de informática y al siguiente semestre utilizar el curso de la obsoleto. Ya la tecnología ha cambiado. Entonces crear esas capacidades era como el punto central, tenía otro proyecto que se abandonó, y era que cada escuela fuera un centro, cuando la escuela no estaba funcionando, para que la comunidad llegara a conectarse con la ciudad. Por eso se llamaba Red Pec, Red  Educativa de Participación Ciudadana. Y Cecilia María nos dijo: Bueno… A ver en un pasito atrás, cuando ese proyecto se firmó en la alcaldía de De Mockus con José Luis Villaveces entonces la interventoría se le adjudicó a una firma y le pusieron una condición. El director de interventoría tenía que ser yo. Entonces cuando Cecilia María llegó, pues yo era el director de la interventoría. Cuando ella me dijo hay que acabar esto. Yo le le mostré, Cecilia, sabes que la multa por acabar el contrato es de 75 millones de dólares y el contrato cuesta 50 millones de dólares. Y ese contrato es con el Gobierno español. Una agencia del Gobierno español  realmente era con la agencia, pero el operativo era El Corte Inglés. Entonces teníamos esa comunicación. Pero lo importante era,  “Oiga no es solamente llevar redes”, en donde la ETB jugó un papel importantísimo de llevar redes y fibra óptica a las escuelas, sino formar al maestro y formar la capacidad de crear contenidos y montarlos en las redes,  Entonces esa parte yo creo que te responde a esa pregunta de cómo impulsar ese tipo de cosas. ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt," Yo creo. Y temo equivocarme de plano,  Yo creo que lo más importante que hace es formar a los alumnos en la administración de redes. Por qué? Porque la creación de contenido ya se volvió. Muy fácil. Cierto o no? Ya ahora cualquiera monta una página web y pone lo que quiera y pone todas las bobadas que quiera y. Y lo leen alguno y la like y se vuelve. Pues Alcahuetería o digámoslo, desviación Pero bueno, eso se canalizará en algún momento, seguramente. Pero lo importante es que ese énfasis. Y de pronto. Pues yo sé que con José Luis le quitaría educación. Entonces queramos. De ",1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt, veníamos y tratando de hacer ese tipo de ideas. Clemente salió y se encuentra en la Universidad de ,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,. Yo creo que todavía después de la Universidad ,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,BITNER,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Uniandes,37
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Centro de Cómputo,5
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Biblioteca Luis Ángel Arango,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Telecom,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,webscraping,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Fernando Salcedo,7
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Hugo Sin,12
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Gonzalo Romero,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Mauricio Pinilla,9
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Ingeniería de Sistemas,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,ingeniera,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,telecomunicaciones,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,conexiones,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,redes,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Internet,14
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,aplicaciones administrativas,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Mainframe,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,IBM,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Unisys,3
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,galpón,5
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,software,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,aplicaciones,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,BitNet,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,email,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Iván Trujillo,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Centro de Cómputo,11
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Centro de Cómputo” fue una de las mejores experiencias de mi vida. Era supremamente cálido. Yo era la única mujer. Bueno no era la única. La otra mujer era ,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,", que era la secretaria. En el ",1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,web,6
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Internet,9
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Gopher,3
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,STP,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,SMTP,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Gonzalo Romero,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Página web,13
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,webmaster,5
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,manejo del servidor,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,configuración,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,servidor HTTP,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,UNIX,3
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,archivos de configuración,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Página web,17
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,código,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,HTML,4
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,índice de páginas,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,páginas web planas,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,WAIS,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,sitio web,3
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Paint,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Microsoft,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,Office,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,producir,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,contenido,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,herramienta,2
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,dictar clases de cómo construir las páginas,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,construir herramientas,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,galpón por internet,1
Copia de Copia Trint Entrevista_Historia_del_Internet_Colombia_Uniandes_Claudia_Sastre_20230824_070455_Meeting_Recording.docx.txt,programar la conexión,1
